 * Serving Flask app 'app'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5001
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 734-101-420
127.0.0.1 - - [05/Feb/2026 21:17:46] "POST /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:47] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:47] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:47] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:47] "GET /api/staff-courses?staff_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:47] "GET /api/study-materials?staff_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:47] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:47] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:47] "GET /api/assignments?staff_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:47] "GET /api/staff-courses?staff_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:47] "GET /api/study-materials?staff_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:47] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:47] "GET /api/submissions?staff_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:47] "GET /api/assignments?staff_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:47] "GET /api/submissions?staff_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:49] "GET /api/staff-courses?staff_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:49] "GET /api/staff-courses?staff_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:49] "GET /api/courses HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:49] "GET /api/courses HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:51] "GET /api/courses HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:51] "GET /api/courses HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:51] "GET /api/exams/course/3/students HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:51] "GET /api/exams/course/3/students HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:55] "GET /api/exams/student/1/course/3 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:17:55] "GET /api/exams/student/1/course/3 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:18:11] "GET /api/courses HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:18:11] "GET /api/exams/course/3/students HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:18:11] "GET /api/courses HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:18:11] "GET /api/exams/course/3/students HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:18:17] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:18:17] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:18:17] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:18:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:18:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:18:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:18:47] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:18:47] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:18:47] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:19:17] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:19:17] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:19:17] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:19:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:19:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:19:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:19:47] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:19:47] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:19:47] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:20:17] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:20:17] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:20:17] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:20:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:20:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:20:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:20:47] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:20:47] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:20:47] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:21:17] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:21:17] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:21:17] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:21:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:21:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:21:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:21:47] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
